balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,8,oracle,9,0
1,red,4,oracle,9,0
2,blue,2,oracle,2,0
3,orange,1,oracle,1,0
4,blue,1,oracle,2,0
5,purple,1,oracle,1,0
6,blue,1,oracle,2,0
7,blue,1,oracle,2,0
8,purple,1,oracle,1,0
9,red,10,oracle,9,9
10,red,1,oracle,9,9
11,orange,1,oracle,1,9
12,orange,1,oracle,1,9
13,orange,1,oracle,1,9
14,orange,1,oracle,1,9
15,purple,2,oracle,1,10
16,red,1,oracle,9,10
17,orange,1,oracle,1,10
18,blue,1,oracle,2,10
19,blue,8,oracle,2,12
20,red,12,oracle,9,21
21,blue,2,oracle,2,21
22,blue,6,oracle,2,23
23,red,21,oracle,9,32
24,red,1,oracle,9,32
25,purple,1,oracle,1,32
26,orange,2,oracle,1,33
27,red,3,oracle,9,33
28,blue,1,oracle,2,33
29,orange,1,oracle,1,33
30,blue,3,oracle,2,35
31,purple,1,oracle,1,35
32,purple,1,oracle,1,35
33,purple,2,oracle,1,36
34,blue,4,oracle,2,38
35,orange,2,oracle,1,39
36,blue,1,oracle,2,39
37,blue,1,oracle,2,39
38,red,7,oracle,9,39
39,orange,1,oracle,1,39
40,red,2,oracle,9,39
41,red,11,oracle,9,48
42,red,5,oracle,9,48
43,purple,1,oracle,1,48
44,orange,2,oracle,1,49
45,red,7,oracle,9,49
46,orange,3,oracle,1,50
47,purple,1,oracle,1,50
48,purple,1,oracle,1,50
49,orange,2,oracle,1,51
50,red,9,oracle,9,51
51,orange,4,oracle,1,52
52,orange,2,oracle,1,53
53,purple,1,oracle,1,53
54,purple,1,oracle,1,53
55,red,2,oracle,9,53
56,red,12,oracle,9,62
57,orange,3,oracle,1,63
58,red,4,oracle,9,63
59,blue,3,oracle,2,65
60,purple,1,oracle,1,65
61,red,38,oracle,9,74
62,red,2,oracle,9,74
63,blue,4,oracle,2,76
64,blue,3,oracle,2,78
65,orange,2,oracle,1,79
66,orange,2,oracle,1,80
67,purple,1,oracle,1,80
68,purple,1,oracle,1,80
69,orange,2,oracle,1,81
70,red,34,oracle,9,90
71,orange,3,oracle,1,91
72,purple,2,oracle,1,92
73,purple,3,oracle,1,93
74,blue,4,oracle,2,95
75,blue,2,oracle,2,95
76,red,9,oracle,9,95
77,red,17,oracle,9,104
78,red,5,oracle,9,104
79,blue,9,oracle,2,106
80,purple,2,oracle,1,107
81,purple,1,oracle,1,107
82,purple,1,oracle,1,107
83,red,17,oracle,9,116
84,orange,1,oracle,1,116
85,orange,1,oracle,1,116
86,purple,1,oracle,1,116
87,red,2,oracle,9,116
88,orange,1,oracle,1,116
89,red,16,oracle,9,125
90,purple,1,oracle,1,125
91,purple,1,oracle,1,125
92,orange,2,oracle,1,126
93,purple,1,oracle,1,126
94,red,7,oracle,9,126
95,orange,4,oracle,1,127
96,purple,1,oracle,1,127
97,blue,1,oracle,2,127
98,orange,4,oracle,1,128
99,orange,4,oracle,1,129
100,red,11,oracle,9,138
101,orange,5,oracle,1,139
102,red,5,oracle,9,139
103,red,3,oracle,9,139
104,blue,1,oracle,2,139
105,orange,1,oracle,1,139
106,orange,2,oracle,1,140
107,blue,1,oracle,2,140
108,blue,1,oracle,2,140
109,blue,2,oracle,2,140
110,orange,3,oracle,1,141
111,red,2,oracle,9,141
112,orange,2,oracle,1,142
113,blue,1,oracle,2,142
114,red,18,oracle,9,151
115,red,10,oracle,9,160
116,red,4,oracle,9,160
117,orange,1,oracle,1,160
118,blue,4,oracle,2,162
119,orange,2,oracle,1,163
120,orange,2,oracle,1,164
121,red,17,oracle,9,173
122,purple,3,oracle,1,174
123,blue,2,oracle,2,174
124,red,1,oracle,9,174
125,red,21,oracle,9,183
126,red,14,oracle,9,192
127,orange,2,oracle,1,193
128,purple,1,oracle,1,193
129,red,6,oracle,9,193
130,blue,1,oracle,2,193
131,blue,1,oracle,2,193
132,purple,1,oracle,1,193
133,purple,1,oracle,1,193
134,red,6,oracle,9,193
135,blue,1,oracle,2,193
136,red,9,oracle,9,193
137,purple,1,oracle,1,193
138,red,1,oracle,9,193
139,blue,1,oracle,2,193
140,orange,4,oracle,1,194
141,red,22,oracle,9,203
142,red,5,oracle,9,203
143,blue,8,oracle,2,205
144,red,7,oracle,9,205
145,red,4,oracle,9,205
146,red,3,oracle,9,205
147,blue,3,oracle,2,207
148,blue,2,oracle,2,207
149,blue,4,oracle,2,209
150,orange,3,oracle,1,210
151,red,3,oracle,9,210
152,blue,1,oracle,2,210
153,blue,3,oracle,2,212
154,red,12,oracle,9,221
155,red,2,oracle,9,221
156,orange,1,oracle,1,221
157,orange,4,oracle,1,222
158,blue,3,oracle,2,224
159,red,4,oracle,9,224
160,red,3,oracle,9,224
161,red,12,oracle,9,233
162,orange,1,oracle,1,233
163,purple,1,oracle,1,233
164,blue,4,oracle,2,235
165,orange,1,oracle,1,235
166,orange,1,oracle,1,235
167,purple,3,oracle,1,236
168,red,17,oracle,9,245
169,orange,1,oracle,1,245
170,red,13,oracle,9,254
171,orange,1,oracle,1,254
172,purple,2,oracle,1,255
173,orange,4,oracle,1,256
174,purple,1,oracle,1,256
175,orange,2,oracle,1,257
176,blue,2,oracle,2,257
177,red,2,oracle,9,257
178,red,5,oracle,9,257
179,red,5,oracle,9,257
180,orange,1,oracle,1,257
181,orange,1,oracle,1,257
182,orange,1,oracle,1,257
183,red,4,oracle,9,257
184,purple,1,oracle,1,257
185,blue,3,oracle,2,259
186,purple,1,oracle,1,259
187,blue,7,oracle,2,261
188,red,4,oracle,9,261
189,blue,1,oracle,2,261
190,red,12,oracle,9,270
191,blue,6,oracle,2,272
192,red,51,oracle,9,281
193,orange,1,oracle,1,281
194,blue,7,oracle,2,283
195,purple,1,oracle,1,283
196,orange,2,oracle,1,284
197,purple,1,oracle,1,284
198,red,11,oracle,9,293
199,blue,1,oracle,2,293
200,orange,1,oracle,1,293
201,purple,1,oracle,1,293
202,orange,1,oracle,1,293
203,purple,1,oracle,1,293
204,orange,3,oracle,1,294
205,red,31,oracle,9,303
206,red,8,oracle,9,303
207,blue,2,oracle,2,303
