balloon_id,balloon_color,pop_time,strategy_name,threshold,end_PnL
0,red,1,0_04_greedy,1,0
1,blue,1,0_04_greedy,1,0
2,red,2,0_04_greedy,1,1
3,blue,1,0_04_greedy,1,1
4,red,1,0_04_greedy,1,1
5,orange,1,0_04_greedy,1,1
6,red,1,0_04_greedy,1000,1
7,purple,1,0_04_greedy,1,1
8,red,1,0_04_greedy,1,1
9,red,1,0_04_greedy,1,1
10,blue,3,0_04_greedy,1,2
11,purple,1,0_04_greedy,1,2
12,red,3,0_04_greedy,1,3
13,purple,1,0_04_greedy,1,3
14,orange,1,0_04_greedy,1,3
15,blue,1,0_04_greedy,1,3
16,red,1,0_04_greedy,1,3
17,purple,3,0_04_greedy,1,4
18,orange,1,0_04_greedy,1,4
19,orange,1,0_04_greedy,1,4
20,blue,1,0_04_greedy,1,4
21,purple,1,0_04_greedy,1,4
22,purple,1,0_04_greedy,1,4
23,purple,1,0_04_greedy,1,4
24,orange,1,0_04_greedy,1,4
25,purple,1,0_04_greedy,1,4
26,orange,1,0_04_greedy,1,4
27,blue,1,0_04_greedy,1,4
28,red,1,0_04_greedy,1,4
29,purple,1,0_04_greedy,1,4
30,purple,1,0_04_greedy,1,4
31,red,1,0_04_greedy,1,4
32,orange,1,0_04_greedy,1,4
33,purple,1,0_04_greedy,1,4
34,purple,1,0_04_greedy,1,4
35,purple,1,0_04_greedy,1,4
36,red,1,0_04_greedy,1,4
37,orange,2,0_04_greedy,1,5
38,red,2,0_04_greedy,1,6
39,red,1,0_04_greedy,1,6
40,red,2,0_04_greedy,1,7
41,blue,1,0_04_greedy,1,7
42,purple,1,0_04_greedy,1,7
43,purple,1,0_04_greedy,1,7
44,red,5,0_04_greedy,1,8
45,blue,1,0_04_greedy,1,8
46,blue,2,0_04_greedy,1,9
47,orange,1,0_04_greedy,1,9
48,blue,1,0_04_greedy,1,9
49,purple,1,0_04_greedy,1,9
50,blue,1,0_04_greedy,1,9
51,orange,1,0_04_greedy,1,9
52,orange,1,0_04_greedy,1,9
53,red,1,0_04_greedy,1,9
54,orange,1,0_04_greedy,1,9
55,purple,1,0_04_greedy,1,9
56,orange,1,0_04_greedy,1,9
57,red,1,0_04_greedy,1,9
58,blue,2,0_04_greedy,1,10
59,blue,1,0_04_greedy,1,10
60,orange,1,0_04_greedy,1,10
61,orange,1,0_04_greedy,1,10
62,blue,1,0_04_greedy,1,10
63,blue,2,0_04_greedy,1,11
64,orange,1,0_04_greedy,1,11
65,red,1,0_04_greedy,1,11
66,orange,1,0_04_greedy,1000,11
67,orange,1,0_04_greedy,1,11
68,red,1,0_04_greedy,1,11
69,blue,1,0_04_greedy,1,11
70,orange,1,0_04_greedy,1,11
71,orange,1,0_04_greedy,1,11
72,red,1,0_04_greedy,1,11
73,orange,1,0_04_greedy,1,11
74,purple,1,0_04_greedy,1000,11
75,red,1,0_04_greedy,1,11
76,orange,2,0_04_greedy,1,12
77,red,3,0_04_greedy,1,13
78,blue,1,0_04_greedy,1,13
79,red,1,0_04_greedy,1,13
80,orange,2,0_04_greedy,1,14
81,orange,2,0_04_greedy,1,15
82,blue,1,0_04_greedy,1,15
83,blue,1,0_04_greedy,1,15
84,blue,2,0_04_greedy,1,16
85,orange,1,0_04_greedy,1,16
86,red,2,0_04_greedy,1000,16
87,orange,1,0_04_greedy,1,16
88,blue,1,0_04_greedy,1,16
89,purple,1,0_04_greedy,1,16
90,orange,2,0_04_greedy,1,17
91,blue,1,0_04_greedy,1,17
92,orange,4,0_04_greedy,1,18
93,purple,1,0_04_greedy,1,18
94,orange,2,0_04_greedy,1,19
95,orange,1,0_04_greedy,1,19
96,purple,1,0_04_greedy,1,19
97,blue,2,0_04_greedy,1,20
98,blue,1,0_04_greedy,1,20
99,blue,1,0_04_greedy,1,20
